,originBikeStation,destBikeStation,uberTripTime,uberTripDistance
0,73,478,840,2.19
1,506,600,1860,4.31
2,218,710,480,1.16
3,37,596,600,1.73
4,73,253,300,0.67
5,263,101,600,0.93
6,296,737,600,1.77
7,792,583,600,1.74
8,361,32,1200,3.44
9,93,577,1440,3.88
10,513,130,960,1.45
11,664,172,600,1.69
12,446,451,900,2.59
13,292,225,600,2.03
14,565,489,480,0.79
15,511,199,900,1.8
16,654,270,420,0.88
17,72,240,720,1.38
18,636,690,900,2.68
19,648,691,360,1.03
20,280,424,300,0.72
21,272,61,480,1.27
22,300,644,1140,3.55
23,381,396,540,1.55
24,759,188,360,0.7
25,624,85,1680,4.26
26,364,361,1140,2.71
27,246,154,840,2.22
28,660,392,840,2.17
29,42,126,540,1.33
30,275,427,420,0.86
31,14,89,300,0.57
32,264,254,300,0.43
33,270,432,1200,3.15
34,155,405,300,0.63
35,679,584,1560,3.66
36,742,595,840,2.44
38,810,718,1740,3.93
39,810,374,600,1.38
40,2,770,360,1.1
41,587,195,720,1.33
42,89,88,720,1.69
43,73,13,1200,3.36
45,695,154,1500,3.2
46,243,762,480,0.95
47,358,107,840,1.84
48,155,157,300,0.35
49,48,510,1380,3.44
50,485,446,300,0.4
51,230,174,720,1.38
53,119,331,360,0.85
54,546,361,840,1.9
55,248,224,600,1.43
56,197,762,600,1.33
57,785,788,240,0.81
58,294,268,300,0.52
59,108,14,1560,2.93
60,173,27,600,1.19
61,242,255,600,2.07
62,217,374,1080,2.51
63,47,255,240,0.31
64,428,708,1500,4.21
65,374,102,1560,3.07
66,222,192,600,1.27
67,18,54,960,1.85
68,290,287,960,2.52
69,322,553,540,1.39
70,215,809,720,1.77
71,405,219,300,0.62
72,796,21,420,1.07
73,727,632,1020,3.13
74,169,562,1080,2.05
75,28,211,960,3.04
76,195,154,420,1.04
77,626,37,360,1.07
78,375,255,840,2.73
79,14,658,2160,5.9
80,263,574,900,1.91
81,806,326,780,2.16
82,233,457,1260,2.77
83,576,586,300,1.14
84,2,386,1080,3.37
85,149,64,1260,2.9
86,213,307,720,2.3
87,433,374,900,2.62
88,452,818,600,0.95
89,265,12,900,2.32
90,58,154,1440,3.39
91,768,430,1020,3.03
92,289,367,480,1.08
93,286,121,600,1.18
94,785,469,780,2.57
95,579,511,660,1.96
96,197,185,900,2.44
97,146,815,480,1.23
98,769,737,360,0.53
99,587,240,780,1.45
