,originBikeStation,destBikeStation,uberTripTime,uberTripDistance,uberTripValue
1,48,564,300,0.9,£5-6
2,118,423,480,1.04,£5-6
3,52,154,1380,2.98,PK-£12
4,733,336,1440,2.23,£8-11
5,81,674,780,2.03,£6-8
6,132,251,300,0.45,£5-6
7,318,221,1140,1.83,£7-9
8,318,116,660,0.72,£5-6
9,94,237,1200,1.62,£6-9
10,774,737,360,1.11,£5-6
11,614,794,840,1.9,£6-8
12,134,703,960,2.72,£7-10
13,737,584,1380,3.19,£9-12
14,107,254,360,1.04,£5-6
15,42,779,900,1.73,£6-8
16,220,288,600,1.08,£5-6
17,615,682,360,1.37,£5-6
18,765,753,720,2.49,£6-9
19,324,94,360,1.08,£5-6
20,470,487,720,2.96,£7-10
21,356,428,360,0.48,£5-6
22,500,530,780,3.03,£7-10
23,264,717,960,2.61,£7-10
24,382,201,960,1.39,£6-8
25,300,213,840,1.38,£5-8
26,605,159,960,1.72,£6-8
27,57,227,360,0.87,£5-6
28,85,411,720,1.47,£5-7
29,764,676,780,2.35,£6-9
30,518,32,1140,2.33,£7-10
31,358,77,720,1.18,£5-7
32,365,572,1020,2.58,£7-10
33,136,118,1200,2.82,£8-11
34,73,588,300,0.64,£5-6
35,553,496,1020,3.56,£8-11
36,512,42,720,1.85,£6-8
37,134,458,240,0.6,£5-6
38,770,634,240,0.48,£5-6
